run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,17.4794,14.1492,12.0008,10.2630,43.6757,0.0781,0.3051,0.7307,3.2333,5.5946,0.9474,74.4449,11640,11640,100.0,0,0,0,True,1.07,N/A,1379.3,8.439,0.563,21.5,38.9,14395,15448,15,15,0.0,0.0435,0.0149
mean,17.4794,14.1492,12.0008,10.2630,43.6757,0.0781,0.3051,0.7307,3.2333,5.5946,0.9474,74.4449,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1379.2900,8.4390,0.5626,21.5000,38.9000,14394.9000,15448.0000,15.0000,15.0000,0.0000,0.0435,0.0149
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
