run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,3.8114,3.4536,3.1685,1.6124,6.2093,0.1418,19.5101,0.8175,3.4029,3.7886,1.0655,11.2322,2425,2425,100.0,0,0,0,True,N/A,N/A,309.6,7.832,0.783,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2015,0.0509
run2,3.3451,3.0150,2.6186,1.4490,7.1738,0.1292,19.5202,0.7425,2.5834,2.8242,1.0663,10.5591,2425,2425,100.0,0,0,0,True,N/A,N/A,83.1,29.182,2.918,24.9,42.3,15591,16127,2821,3061,31.4,0.2015,0.0509
run3,3.7376,3.4399,3.2865,1.4618,5.6306,0.1339,19.5120,0.7456,3.4431,2.8111,1.0599,10.1250,2425,2425,100.0,0,0,0,True,N/A,N/A,83.1,29.183,2.918,27.0,40.9,15869,17055,2860,3061,32.5,0.2015,0.0509
mean,3.6314,3.3028,3.0245,1.5077,6.3379,0.1350,19.5141,0.7685,3.1431,3.1413,1.0639,10.6388,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,158.6133,22.0657,2.2066,25.9500,41.6000,15730.0000,16591.0000,2840.6000,3061.0000,31.9500,0.2015,0.0509
std,0.2047,0.2036,0.2911,0.0742,0.6366,0.0052,0.0044,0.0346,0.3961,0.4578,0.0029,0.4555,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,106.7920,10.0647,1.0065,1.0500,0.7000,138.8000,464.0000,19.4000,0.0000,0.5500,0.0119,0.0209
