run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,4.6962,4.2588,3.6047,1.9790,11.0414,0.0300,0.2346,0.1653,0.6194,1.1823,1.0213,14.9351,13745,13821,99.5,0,0,0,True,11.18,N/A,1115.9,12.317,12.317,33.9,59.6,15980,17028,15,15,0.0,0.0154,0.0243
mean,4.6962,4.2588,3.6047,1.9790,11.0414,0.0300,0.2346,0.1653,0.6194,1.1823,1.0213,14.9351,N/A,N/A,99.5000,0.0000,0.0000,0.0000,N/A,N/A,N/A,1115.9400,12.3170,12.3170,33.9000,59.6000,15979.5000,17028.0000,15.0000,15.0000,0.0000,0.0154,0.0243
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
