run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_all_ate_rmse
run1,4.0826,3.6501,3.7005,1.8286,8.5093,0.4999,19.2523,2.0073,6.1097,9.5218,0.1727,5.4106,3682,3682,100.0,0,0,0,False,N/A,N/A,279.5,13.173,1.317,0.0,0.0,12336,12737,11527,11870,61.1,0.8609
mean,4.0826,3.6501,3.7005,1.8286,8.5093,0.4999,19.2523,2.0073,6.1097,9.5218,0.1727,5.4106,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,279.5200,13.1730,1.3173,0.0000,0.0000,12336.3000,12737.0000,11527.4000,11870.0000,61.1000,0.8609
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
