run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,26.6804,22.1696,20.4775,14.8443,92.8611,0.2722,1.3783,2.3788,10.7118,15.8937,0.5369,224.1838,9530,9530,100.0,0,0,0,False,N/A,N/A,84.4,112.960,112.960,95.5,98.5,18228,18593,15,15,0.0,1.1011,0.0777
mean,26.6804,22.1696,20.4775,14.8443,92.8611,0.2722,1.3783,2.3788,10.7118,15.8937,0.5369,224.1838,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,84.3700,112.9600,112.9600,95.5000,98.5000,18228.3000,18593.0000,15.0000,15.0000,0.0000,1.1011,0.0777
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
