run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,38.2400,30.2750,27.4756,23.3607,207.9872,1.1754,0.2907,10.5375,44.3274,64.9005,0.4577,487.8122,133451,11640,1146.5,0,0,0,False,N/A,N/A,872.3,152.984,152.984,84.8,95.3,21036,25939,2969,3057,20.5,0.1508,0.0739
mean,38.2400,30.2750,27.4756,23.3607,207.9872,1.1754,0.2907,10.5375,44.3274,64.9005,0.4577,487.8122,N/A,N/A,1146.5000,0.0000,0.0000,0.0000,N/A,N/A,N/A,872.3200,152.9840,152.9840,84.8000,95.3000,21035.6000,25939.0000,2969.3000,3057.0000,20.5000,0.1508,0.0739
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
