run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct
run1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,False,N/A,N/A,N/A,N/A,N/A,60.8,79.9,16513,19277,2912,3061,29.5
mean,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0000,0.0000,0.0000,N/A,N/A,N/A,N/A,N/A,N/A,60.8000,79.9000,16512.6000,19277.0000,2911.8000,3061.0000,29.5000
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
