run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,38.9186,34.4177,32.6715,18.1679,99.9828,4.3352,9.0348,7.0979,9.3316,10.6918,9.5899,2.4204,9530,9530,100.0,0,0,0,False,N/A,N/A,339.3,28.086,2.809,0.0,0.0,9906,10330,11246,11870,54.4,12.5836,0.7750
run2,38.9186,34.4177,32.6715,18.1679,99.9828,4.3352,9.0348,7.0979,9.3316,10.6918,9.5899,2.4204,9530,9530,100.0,0,0,0,False,N/A,N/A,339.0,28.114,2.811,0.0,0.0,9739,10155,11169,11870,52.9,12.5836,0.7750
run3,38.9186,34.4177,32.6715,18.1679,99.9828,4.3352,9.0348,7.0979,9.3316,10.6918,9.5899,2.4204,9530,9530,100.0,0,0,0,False,N/A,N/A,344.5,27.662,2.766,0.0,0.0,9755,10105,11185,11870,54.1,12.5836,0.7750
mean,38.9186,34.4177,32.6715,18.1679,99.9828,4.3352,9.0348,7.0979,9.3316,10.6918,9.5899,2.4204,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,340.9400,27.9540,2.7954,0.0000,0.0000,9800.2000,10196.6667,11200.1333,11870.0000,53.8000,12.5836,0.7750
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,2.5352,0.2068,0.0207,0.0000,0.0000,74.9556,96.4653,33.3161,0.0000,0.6481,0.0000,0.0000
