run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,9.9575,8.3428,7.5384,5.4360,27.5749,0.0344,0.2790,0.2100,0.9717,1.7160,1.0048,34.2818,13821,13821,100.0,0,0,0,True,N/A,N/A,768.8,17.977,1.798,29.4,71.5,20674,23382,2377,3139,24.0,0.0192,0.0185
run2,9.8141,8.2740,7.5383,5.2781,25.7950,0.0340,0.2786,0.2036,0.9358,1.6531,1.0055,32.3323,13821,13821,100.0,0,0,0,True,N/A,N/A,553.3,24.980,2.498,32.2,57.1,19007,20937,2999,3055,32.8,0.0192,0.0185
run3,9.8926,8.2827,7.4689,5.4092,27.4339,0.0342,0.2791,0.2077,0.9632,1.6901,1.0051,34.0575,13821,13821,100.0,0,0,0,True,N/A,N/A,528.2,26.165,2.616,29.8,68.4,19284,21295,3009,3055,33.4,0.0192,0.0185
mean,9.8881,8.2998,7.5152,5.3744,26.9346,0.0342,0.2789,0.2071,0.9569,1.6864,1.0052,33.5572,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,616.7700,23.0407,2.3041,30.4667,65.6667,19655.3000,21871.3333,2795.0667,3083.0000,30.0667,0.0192,0.0185
std,0.0586,0.0306,0.0328,0.0690,0.8079,0.0002,0.0002,0.0027,0.0153,0.0258,0.0003,0.8710,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,107.9934,3.6131,0.3613,1.2365,6.1883,729.2983,1078.1547,295.4311,39.5980,4.2968,0.0001,0.0000
