run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,18.3222,14.7563,11.9736,10.8606,51.8813,0.1152,0.3091,0.9985,4.5802,7.8839,0.9155,66.5338,13822,13821,100.0,0,6337,0,True,1.07,N/A,2931.0,4.716,0.314,19.1,100.0,15141,17339,15,15,0.0,0.0210,0.0183
mean,18.3222,14.7563,11.9736,10.8606,51.8813,0.1152,0.3091,0.9985,4.5802,7.8839,0.9155,66.5338,N/A,N/A,100.0000,0.0000,6337.0000,0.0000,N/A,N/A,N/A,2930.9900,4.7160,0.3144,19.1000,100.0000,15141.4000,17339.0000,15.0000,15.0000,0.0000,0.0210,0.0183
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
