run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,16.3288,14.5595,14.2752,7.3926,32.4399,6.7801,46.3175,28.8200,N/A,N/A,1.0208,15.3417,2425,2425,100.0,0,0,0,True,N/A,N/A,78.2,31.031,31.031,27.7,37.1,14080,14366,2724,3059,32.8,4.1212,0.4801
mean,16.3288,14.5595,14.2752,7.3926,32.4399,6.7801,46.3175,28.8200,N/A,N/A,1.0208,15.3417,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,78.1500,31.0310,31.0310,27.7000,37.1000,14080.1000,14366.0000,2724.4000,3059.0000,32.8000,4.1212,0.4801
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
