run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,0.2753,0.2468,0.2354,0.1220,0.7543,0.0223,17.6048,0.0424,0.1685,0.0280,1.0364,0.9373,2425,2425,100.0,0,0,0,False,N/A,N/A,22.1,109.495,10.950,89.8,92.8,12124,12297,15,15,0.0,0.0274,0.0280
mean,0.2753,0.2468,0.2354,0.1220,0.7543,0.0223,17.6048,0.0424,0.1685,0.0280,1.0364,0.9373,N/A,N/A,100.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,22.1500,109.4950,10.9495,89.8000,92.8000,12124.3000,12297.0000,15.0000,15.0000,0.0000,0.0274,0.0280
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
