run,ate_rmse_m,ate_mean_m,ate_median_m,ate_std_m,ate_max_m,rpe_point_dist_1m_rmse,rpe_rot_1m_rmse_deg,kitti_10m_trans_rmse,kitti_50m_trans_rmse,kitti_100m_trans_rmse,scale_factor,final_drift_m,frames_tracked,frames_total,track_pct,tracking_losses,loop_closures,map_resets,init_success,init_time_s,first_failure_s,wall_s,fps,rtf,cpu_mean_pct,cpu_peak_pct,ram_mean_mib,ram_peak_mib,vram_mean_mib,vram_peak_mib,gpu_mean_pct,agri_row_ate_rmse,agri_turn_ate_rmse
run1,45.0017,39.1560,34.6084,22.1802,90.4583,0.8205,9.9035,2.8424,12.5765,24.4025,1.2209,32.3588,6911,13821,50.0,0,0,0,False,N/A,N/A,456.1,15.152,1.515,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0560,1.0798
mean,45.0017,39.1560,34.6084,22.1802,90.4583,0.8205,9.9035,2.8424,12.5765,24.4025,1.2209,32.3588,N/A,N/A,50.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,456.1100,15.1520,1.5152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0560,1.0798
std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,N/A,N/A,0.0000,0.0000,0.0000,0.0000,N/A,N/A,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
